"anio","codigo_canton","canton_original","canton","indice_competitividad","ranking_competitividad","categoria_competitividad","pilar_economico","pilar_empresarial","pilar_gobierno","pilar_laboral","pilar_infraestructura","pilar_innovacion","pilar_calidad_vida","femicidio_art_21","femicidio_otros_contextos","femicidio_ampliado","sospecha_femicidio","homicidios_mujeres_no_femicidio","homicidios_mujeres_sin_revision","homicidios_mujeres_pendientes","homicidios_indeterminado","femicidios_registrados","muertes_violentas_mujeres_total","matricula_estatal_total","matricula_mujeres","matricula_hombres","matricula_sexo_no_especificado","porcentaje_mujeres","porcentaje_hombres","matricula_primer_ingreso","matricula_no_primer_ingreso","universidad_predominante","cantidad_universidad_predominante","carrera_predominante","cantidad_carrera_predominante","cantidad_universidades_distintas","cantidad_carreras_distintas"
2022,101,"San José","SAN JOSE",66.3776814937592,3,"Alto",70.9840893745422,77.1132409572601,64.7325396537781,70.0600504875183,75.9011507034302,67.007315158844,38.8454020023346,0,2,0,0,1,0,0,0,2,3,5463,2842,2621,0,52.02,47.98,856,4607,"UNIVERSIDAD DE COSTA RICA",2738,"ADMINISTRACION DE EMPRESAS",472,5,434
2022,102,"Escazú","ESCAZU",70.4834580421448,2,"Alto",81.4141511917114,76.7623007297516,74.4266033172607,62.4220073223114,71.4280545711517,66.0794258117676,60.85165143013,0,0,0,0,0,0,0,0,0,0,1475,786,689,0,53.29,46.71,232,1243,"UNIVERSIDAD DE COSTA RICA",759,"ADMINISTRACION DE EMPRESAS",101,5,254
2022,103,"Desamparados","DESAMPARADOS",48.2376307249069,25,"Medio",33.5440933704376,35.3080064058304,27.0470499992371,73.4217345714569,71.7551946640015,46.3845163583755,50.2028167247772,0,0,0,0,1,0,0,0,0,1,3961,2273,1688,0,57.38,42.62,620,3341,"UNIVERSIDAD DE COSTA RICA",1724,"ADMINISTRACION DE EMPRESAS",425,5,330
2022,104,"Puriscal","PURISCAL",38.8099610805511,62,"Bajo",27.2435009479523,26.7040461301804,30.118003487587,63.4877324104309,38.4595572948456,31.4913362264633,54.1655421257019,0,0,0,0,0,0,0,0,0,0,1178,737,441,0,62.56,37.44,184,994,"UNIVERSIDAD ESTATAL A DISTANCIA",534,"ADMINISTRACION DE EMPRESAS",138,5,193
2022,105,"Tarrazú","TARRAZU",37.5351250171661,70,"Bajo",37.7722918987274,23.9966079592705,44.564813375473,34.3049764633179,39.982745051384,31.085017323494,51.0394275188446,0,0,0,0,0,0,0,0,0,0,659,415,244,0,62.97,37.03,103,556,"UNIVERSIDAD ESTATAL A DISTANCIA",277,"ADMINISTRACION DE EMPRESAS",66,5,164
2022,106,"Aserrí","ASERRI",37.3339980840683,71,"Bajo",20.7201108336449,25.7797449827194,25.3595352172852,58.3430290222168,49.7937738895416,41.2967532873154,40.0450438261032,0,0,0,0,0,0,0,0,0,0,1324,763,561,0,57.63,42.37,213,1111,"UNIVERSIDAD DE COSTA RICA",574,"ADMINISTRACION DE EMPRESAS",146,5,225
2022,107,"Mora","MORA",44.4149047136307,44,"Medio",45.1563447713852,33.9775651693344,38.7692123651505,57.000207901001,47.0156043767929,40.1239931583405,48.8614112138748,0,0,0,0,0,0,0,0,0,0,741,433,308,0,58.43,41.57,135,606,"UNIVERSIDAD ESTATAL A DISTANCIA",285,"ADMINISTRACION DE EMPRESAS",92,5,179
2022,108,"Goicoechea","GOICOECHEA",53.3523440361023,15,"Medio",44.5407718420029,45.1584130525589,34.4310998916626,73.8064885139465,77.8015732765198,54.3153047561646,43.4127599000931,0,0,0,0,1,0,0,0,0,1,2868,1462,1406,0,50.98,49.02,441,2427,"UNIVERSIDAD DE COSTA RICA",1527,"ADMINISTRACION DE EMPRESAS",252,5,316
2022,109,"Santa Ana","SANTA ANA",62.1520638465881,7,"Alto",74.7725009918213,55.6573867797852,57.9959332942963,51.6858994960785,71.7745959758759,66.7250394821167,56.4531028270721,0,0,0,0,0,0,0,0,0,0,1133,603,530,0,53.22,46.78,208,925,"UNIVERSIDAD DE COSTA RICA",605,"ADMINISTRACION DE EMPRESAS",82,5,238
2022,110,"Alajuelita","ALAJUELITA",40.8430188894272,57,"Medio",20.6569865345955,24.0858852863312,29.9508422613144,56.4691126346588,69.6627497673035,43.4675127267838,41.6080415248871,0,0,0,0,0,0,0,0,0,0,967,525,442,0,54.29,45.71,165,802,"UNIVERSIDAD DE COSTA RICA",367,"ADMINISTRACION DE EMPRESAS",123,5,203
