"anio","codigo_canton","provincia","canton","femicidio_art_21","femicidio_otros_contextos","femicidio_ampliado","sospecha_femicidio","homicidios_mujeres_no_femicidio","homicidios_mujeres_sin_revision","homicidios_mujeres_pendientes","homicidios_indeterminado","femicidios_registrados","muertes_violentas_mujeres_total"
2022,101,"SAN JOSE","SAN JOSE",0,2,0,0,1,0,0,0,2,3
2022,103,"SAN JOSE","DESAMPARADOS",0,0,0,0,1,0,0,0,0,1
2022,108,"SAN JOSE","GOICOECHEA",0,0,0,0,1,0,0,0,0,1
2022,113,"SAN JOSE","TIBAS",0,1,0,0,0,0,0,0,1,1
2022,116,"SAN JOSE","TURRUBARES",0,0,0,0,1,0,0,0,0,1
2022,201,"ALAJUELA","ALAJUELA",1,0,0,0,1,0,0,0,1,2
2022,202,"ALAJUELA","SAN RAMON",0,1,0,0,0,0,0,0,1,1
2022,208,"ALAJUELA","POAS",0,0,0,0,1,0,0,0,0,1
2022,210,"ALAJUELA","SAN CARLOS",0,1,0,0,1,0,0,0,1,2
2022,301,"CARTAGO","CARTAGO",0,0,0,0,1,0,0,0,0,1
2022,304,"CARTAGO","JIMENEZ",1,0,0,0,0,0,0,0,1,1
2022,401,"HEREDIA","HEREDIA",2,0,1,0,0,0,0,0,2,3
2022,403,"HEREDIA","SANTO DOMINGO",0,0,0,0,1,0,0,0,0,1
2022,405,"HEREDIA","SAN RAFAEL",1,0,0,0,0,0,0,0,1,1
2022,406,"HEREDIA","SAN ISIDRO",0,0,0,0,1,0,0,0,0,1
2022,501,"GUANACASTE","LIBERIA",0,0,0,1,1,0,0,0,0,2
2022,502,"GUANACASTE","NICOYA",0,1,0,0,1,0,0,0,1,2
2022,503,"GUANACASTE","SANTA CRUZ",1,0,0,0,1,0,0,0,1,2
2022,508,"GUANACASTE","TILARAN",1,0,0,0,0,0,0,0,1,1
2022,601,"PUNTARENAS","PUNTARENAS",0,0,0,0,2,0,0,0,0,2
2022,602,"PUNTARENAS","ESPARZA",0,0,1,0,1,0,0,0,0,2
2022,604,"PUNTARENAS","MONTES DE ORO",1,0,0,0,0,0,0,0,1,1
2022,607,"PUNTARENAS","GOLFITO",0,1,0,0,0,0,0,0,1,1
2022,610,"PUNTARENAS","CORREDORES",1,1,0,0,1,0,0,0,2,3
2022,611,"PUNTARENAS","GARABITO",0,1,0,0,1,0,0,0,1,2
2022,701,"LIMON","LIMON",0,1,0,0,2,1,0,0,1,4
2022,702,"LIMON","POCOCI",0,1,0,0,0,1,0,0,1,2
2022,703,"LIMON","SIQUIRRES",0,1,0,0,0,0,0,0,1,1
2022,704,"LIMON","TALAMANCA",2,0,0,0,0,0,0,0,2,2
2022,705,"LIMON","MATINA",0,0,0,0,1,0,0,0,0,1
2022,706,"LIMON","GUACIMO",0,0,0,0,1,0,0,0,0,1
2023,101,"SAN JOSE","SAN JOSE",0,1,0,0,3,2,1,0,1,7
2023,103,"SAN JOSE","DESAMPARADOS",1,0,0,0,1,2,0,0,1,4
2023,106,"SAN JOSE","ASERRI",0,1,0,0,0,1,0,0,1,2
2023,108,"SAN JOSE","GOICOECHEA",1,0,0,0,1,0,0,0,1,2
2023,110,"SAN JOSE","ALAJUELITA",0,0,0,0,0,1,0,0,0,1
2023,120,"SAN JOSE","LEON CORTES",1,0,0,0,0,0,0,0,1,1
2023,201,"ALAJUELA","ALAJUELA",0,0,0,0,3,0,0,0,0,3
2023,202,"ALAJUELA","SAN RAMON",0,1,0,0,1,0,0,0,1,2
2023,206,"ALAJUELA","NARANJO",0,0,0,0,0,1,0,0,0,1
2023,210,"ALAJUELA","SAN CARLOS",0,1,0,0,2,1,0,0,1,4
2023,214,"ALAJUELA","LOS CHILES",1,0,0,0,1,0,0,0,1,2
2023,301,"CARTAGO","CARTAGO",0,1,0,0,1,0,0,0,1,2
2023,305,"CARTAGO","TURRIALBA",0,0,0,0,0,0,1,0,0,1
2023,306,"CARTAGO","ALVARADO",0,0,0,0,1,0,0,0,0,1
2023,401,"HEREDIA","HEREDIA",0,0,0,0,2,0,0,0,0,2
2023,501,"GUANACASTE","LIBERIA",0,2,0,0,1,0,0,0,2,3
2023,502,"GUANACASTE","NICOYA",1,0,0,0,1,0,0,0,1,2
2023,503,"GUANACASTE","SANTA CRUZ",2,0,0,0,0,1,0,0,2,3
2023,505,"GUANACASTE","CARRILLO",0,1,0,0,0,0,0,0,1,1
2023,601,"PUNTARENAS","PUNTARENAS",0,0,0,0,1,1,0,0,0,2
2023,603,"PUNTARENAS","BUENOS AIRES",1,0,0,0,0,0,0,0,1,1
2023,606,"PUNTARENAS","QUEPOS",1,0,0,0,0,0,0,0,1,1
2023,609,"PUNTARENAS","PARRITA",0,0,0,0,2,1,0,0,0,3
2023,610,"PUNTARENAS","CORREDORES",1,1,0,0,0,2,0,0,2,4
2023,611,"PUNTARENAS","GARABITO",0,0,0,0,0,0,1,0,0,1
2023,701,"LIMON","LIMON",0,2,0,0,0,4,0,0,2,6
2023,702,"LIMON","POCOCI",3,0,0,0,2,0,0,0,3,5
2023,704,"LIMON","TALAMANCA",0,0,0,0,2,0,0,0,0,2
2023,705,"LIMON","MATINA",0,0,0,0,1,1,0,0,0,2
2023,706,"LIMON","GUACIMO",0,0,0,0,1,0,0,0,0,1
2024,101,"SAN JOSE","SAN JOSE",1,0,0,0,0,5,0,0,1,6
2024,103,"SAN JOSE","DESAMPARADOS",0,0,0,0,0,1,0,0,0,1
2024,108,"SAN JOSE","GOICOECHEA",0,0,0,0,0,1,0,0,0,1
2024,109,"SAN JOSE","SANTA ANA",0,0,0,0,0,1,0,0,0,1
2024,110,"SAN JOSE","ALAJUELITA",0,0,0,0,1,2,0,0,0,3
2024,115,"SAN JOSE","MONTES DE OCA",0,0,0,0,0,1,0,0,0,1
2024,117,"SAN JOSE","DOTA",1,0,0,0,0,0,0,0,1,1
