"anio","codigo_canton","provincia","canton","matricula_estatal_total","matricula_mujeres","matricula_hombres","matricula_sexo_no_especificado","porcentaje_mujeres","porcentaje_hombres","matricula_primer_ingreso","matricula_no_primer_ingreso","universidad_predominante","cantidad_universidad_predominante","carrera_predominante","cantidad_carrera_predominante","cantidad_universidades_distintas","cantidad_carreras_distintas"
2022,101,"SAN JOSE","SAN JOSE",5463,2842,2621,0,52.02,47.98,856,4607,"UNIVERSIDAD DE COSTA RICA",2738,"ADMINISTRACION DE EMPRESAS",472,5,434
2022,102,"SAN JOSE","ESCAZU",1475,786,689,0,53.29,46.71,232,1243,"UNIVERSIDAD DE COSTA RICA",759,"ADMINISTRACION DE EMPRESAS",101,5,254
2022,103,"SAN JOSE","DESAMPARADOS",3961,2273,1688,0,57.38,42.62,620,3341,"UNIVERSIDAD DE COSTA RICA",1724,"ADMINISTRACION DE EMPRESAS",425,5,330
2022,104,"SAN JOSE","PURISCAL",1178,737,441,0,62.56,37.44,184,994,"UNIVERSIDAD ESTATAL A DISTANCIA",534,"ADMINISTRACION DE EMPRESAS",138,5,193
2022,105,"SAN JOSE","TARRAZU",659,415,244,0,62.97,37.03,103,556,"UNIVERSIDAD ESTATAL A DISTANCIA",277,"ADMINISTRACION DE EMPRESAS",66,5,164
2022,106,"SAN JOSE","ASERRI",1324,763,561,0,57.63,42.37,213,1111,"UNIVERSIDAD DE COSTA RICA",574,"ADMINISTRACION DE EMPRESAS",146,5,225
2022,107,"SAN JOSE","MORA",741,433,308,0,58.43,41.57,135,606,"UNIVERSIDAD ESTATAL A DISTANCIA",285,"ADMINISTRACION DE EMPRESAS",92,5,179
2022,108,"SAN JOSE","GOICOECHEA",2868,1462,1406,0,50.98,49.02,441,2427,"UNIVERSIDAD DE COSTA RICA",1527,"ADMINISTRACION DE EMPRESAS",252,5,316
2022,109,"SAN JOSE","SANTA ANA",1133,603,530,0,53.22,46.78,208,925,"UNIVERSIDAD DE COSTA RICA",605,"ADMINISTRACION DE EMPRESAS",82,5,238
2022,110,"SAN JOSE","ALAJUELITA",967,525,442,0,54.29,45.71,165,802,"UNIVERSIDAD DE COSTA RICA",367,"ADMINISTRACION DE EMPRESAS",123,5,203
2022,111,"SAN JOSE","VAZQUEZ DE CORONADO",1981,1069,912,0,53.96,46.04,279,1702,"UNIVERSIDAD DE COSTA RICA",1000,"ADMINISTRACION DE EMPRESAS",170,5,283
2022,112,"SAN JOSE","ACOSTA",658,415,243,0,63.07,36.93,91,567,"UNIVERSIDAD ESTATAL A DISTANCIA",320,"ADMINISTRACION DE EMPRESAS",92,5,155
2022,113,"SAN JOSE","TIBAS",1503,799,704,0,53.16,46.84,245,1258,"UNIVERSIDAD DE COSTA RICA",699,"ADMINISTRACION DE EMPRESAS",124,5,282
2022,114,"SAN JOSE","MORAVIA",1820,986,834,0,54.18,45.82,299,1521,"UNIVERSIDAD DE COSTA RICA",956,"ADMINISTRACION DE EMPRESAS",132,5,287
2022,115,"SAN JOSE","MONTES DE OCA",2923,1530,1393,0,52.34,47.66,328,2595,"UNIVERSIDAD DE COSTA RICA",2106,"ADMINISTRACION DE EMPRESAS",145,5,364
2022,116,"SAN JOSE","TURRUBARES",163,101,62,0,61.96,38.04,32,131,"UNIVERSIDAD ESTATAL A DISTANCIA",63,"ADMINISTRACION DE EMPRESAS",16,5,68
2022,117,"SAN JOSE","DOTA",228,138,90,0,60.53,39.47,36,192,"UNIVERSIDAD ESTATAL A DISTANCIA",92,"ADMINISTRACION DE EMPRESAS",18,5,111
2022,118,"SAN JOSE","CURRIDABAT",2020,1017,1003,0,50.35,49.65,305,1715,"UNIVERSIDAD DE COSTA RICA",1196,"ADMINISTRACION DE EMPRESAS",158,5,293
2022,119,"SAN JOSE","PEREZ ZELEDON",5032,2829,2203,0,56.22,43.78,854,4178,"UNIVERSIDAD ESTATAL A DISTANCIA",1866,"ADMINISTRACION DE EMPRESAS",289,5,272
2022,120,"SAN JOSE","LEON CORTES",492,311,181,0,63.21,36.79,66,426,"UNIVERSIDAD ESTATAL A DISTANCIA",250,"ADMINISTRACION DE EMPRESAS",51,5,132
